Name,Alternating,DT Name,DT Rank,DT Notation,Conway Notation,Gauss Notation,PD Notation,Crossing Number,Unknotting Number,Bridge Index,Braid Index,Braid Length,Braid Notation,Symmetry Type,Full Symmetry Group,Montesinos Notation
0_1,Y,?,?,?,?,?,?,0,0,1,1,0,{1;-1;1},?,?,?
3_1,Y,3a_1,2,[4; 6; 2],[3],{1; -2; 3; -1; 2; -3},[[1;5;2;4];[3;1;4;6];[5;3;6;2]],3,1,2,2,3,{1;1;1},reversible,Z2,K(1/3)
4_1,Y,4a_1,3,[4; 6; 8; 2],[22],{-1; 2; -3; 1; -4; 3; -2; 4},[[4;2;5;1];[8;6;1;5];[6;3;7;4];[2;7;3;8]],4,1,2,3,4,{1;-2;1;-2},fully amphicheiral,D4,K(2/5)
5_1,Y,5a_2,5,[6; 8; 10; 2; 4],[5],{-1; 2; -3; 4; -5; 1; -2; 3; -4; 5},[[2;8;3;7];[4;10;5;9];[6;2;7;1];[8;4;9;3];[10;6;1;5]],5,2,2,2,5,{1;1;1;1;1},reversible,Z2,K(1/5)
5_2,Y,5a_1,4,[4; 8; 10; 2; 6],[32],{1; -2; 3; -1; 4; -5; 2; -3; 5; -4},[[1;5;2;4];[3;9;4;8];[5;1;6;10];[7;3;8;2];[9;7;10;6]],5,1,2,3,6,{1;1;1;2;-1;2},reversible,D2,K(3/7)
6_1,Y,6a_3,8,[4; 8; 12; 10; 2; 6],[42],{1; -2; 3; -4; 2; -1; 5; -6; 4; -3; 6; -5},[[1;7;2;6];[3;10;4;11];[5;3;6;2];[7;1;8;12];[9;4;10;5];[11;9;12;8]],6,1,2,4,7,{1;1;2;-1;-3;2;-3},reversible,D2,K(4/9)
6_2,Y,6a_2,7,[4; 8; 10; 12; 2; 6],[312],{1; -2; 3; -4; 5; -6; 2; -1; 6; -3; 4; -5},[[1;8;2;9];[3;11;4;10];[5;1;6;12];[7;2;8;3];[9;7;10;6];[11;5;12;4]],6,1,2,3,6,{1;1;1;-2;1;-2},reversible,D2,K(4/11)
6_3,Y,6a_1,6,[4; 8; 10; 2; 12; 6],[2112],{-1; 2; -3; 1; -4; 5; -2; 3; -6; 4; -5; 6},[[4;2;5;1];[8;4;9;3];[12;9;1;10];[10;5;11;6];[6;11;7;12];[2;8;3;7]],6,1,2,3,6,{1;1;-2;1;-2;-2},fully amphicheiral,D4,K(5/13)
7_1,Y,7a_7,15,[8; 10; 12; 14; 2; 4; 6],[7],{1; -2; 3; -4; 5; -6; 7; -1; 2; -3; 4; -5; 6; -7},[[1;9;2;8];[3;11;4;10];[5;13;6;12];[7;1;8;14];[9;3;10;2];[11;5;12;4];[13;7;14;6]],7,3,2,2,7,{1;1;1;1;1;1;1},reversible,Z2,K(1/7)
7_2,Y,7a_4,12,[4; 10; 14; 12; 2; 8; 6],[52],{-1; 2; -3; 4; -5; 6; -7; 1; -2; 7; -6; 5; -4; 3},[[2;10;3;9];[4;14;5;13];[6;12;7;11];[8;2;9;1];[10;8;11;7];[12;6;13;5];[14;4;1;3]],7,1,2,4,9,{1;1;1;2;-1;2;3;-2;3},reversible,D2,K(5/11)
7_3,Y,7a_5,13,[6; 10; 12; 14; 2; 4; 8],[43],{1; -2; 3; -4; 5; -6; 7; -1; 2; -3; 4; -7; 6; -5},[[1;9;2;8];[3;11;4;10];[5;1;6;14];[7;13;8;12];[9;3;10;2];[11;5;12;4];[13;7;14;6]],7,2,2,3,8,{1;1;1;1;1;2;-1;2},reversible,D2,K(4/13)
7_4,Y,7a_6,14,[6; 10; 12; 14; 4; 2; 8],[313],{-1; 2; -3; 4; -5; 6; -7; 3; -2; 1; -4; 7; -6; 5},[[2;10;3;9];[4;12;5;11];[6;14;7;13];[8;4;9;3];[10;2;11;1];[12;8;13;7];[14;6;1;5]],7,2,2,4,9,{1;1;2;-1;2;2;3;-2;3},reversible,D4,K(4/15)
7_5,Y,7a_3,11,[4; 10; 12; 14; 2; 8; 6],[322],{-1; 2; -3; 1; -4; 5; -6; 7; -2; 3; -7; 4; -5; 6},[[2;10;3;9];[4;2;5;1];[6;14;7;13];[8;12;9;11];[10;4;11;3];[12;6;13;5];[14;8;1;7]],7,2,2,3,8,{1;1;1;1;2;-1;2;2},reversible,D2,K(7/17)
7_6,Y,7a_2,10,[4; 8; 12; 2; 14; 6; 10],[2212],{1; -2; 3; -4; 5; -6; 7; -3; 2; -7; 6; -1; 4; -5},[[1;13;2;12];[3;9;4;8];[5;1;6;14];[7;10;8;11];[9;3;10;2];[11;6;12;7];[13;5;14;4]],7,1,2,4,7,{1;1;-2;1;3;-2;3},reversible,D2,K(7/19)
7_7,Y,7a_1,9,[4; 8; 10; 12; 2; 14; 6],[21112],{1; -2; 3; -4; 5; -6; 4; -7; 2; -1; 7; -3; 6; -5},[[1;10;2;11];[3;13;4;12];[5;14;6;1];[7;5;8;4];[9;2;10;3];[11;9;12;8];[13;6;14;7]],7,1,2,4,7,{-1;2;-1;2;-3;2;-3},reversible,D4,K(8/21)
8_1,Y,8a_11,26,[4; 10; 16; 14; 12; 2; 8; 6],[62],{1; -2; 3; -4; 5; -3; 2; -1; 6; -7; 8; -5; 4; -8; 7; -6},[[1;9;2;8];[3;7;4;6];[5;12;6;13];[7;3;8;2];[9;1;10;16];[11;15;12;14];[13;4;14;5];[15;11;16;10]],8,1,2,5,10,{1;1;2;-1;2;3;-2;-4;3;-4},reversible,D2,K(6/13)
8_2,Y,8a_8,23,[4; 10; 12; 14; 16; 2; 6; 8],[512],{1; -2; 3; -4; 5; -6; 7; -8; 2; -1; 8; -3; 4; -5; 6; -7},[[1;10;2;11];[3;13;4;12];[5;15;6;14];[7;1;8;16];[9;2;10;3];[11;9;12;8];[13;5;14;4];[15;7;16;6]],8,2,2,3,8,{1;1;1;1;1;-2;1;-2},reversible,D2,K(6/17)
8_3,Y,8a_18,33,[6; 12; 10; 16; 14; 4; 2; 8],[44],{-1; 2; -3; 4; -5; 1; -6; 7; -8; 5; -4; 3; -2; 8; -7; 6},[[6;2;7;1];[14;10;15;9];[10;5;11;6];[12;3;13;4];[4;11;5;12];[2;13;3;14];[16;8;1;7];[8;16;9;15]],8,2,2,5,10,{1;1;2;-1;-3;2;-3;-4;3;-4},fully amphicheiral,D4,K(4/17)
8_4,Y,8a_17,32,[6; 10; 12; 16; 14; 4; 2; 8],[413],{-1; 2; -3; 4; -5; 6; -7; 8; -4; 1; -2; 3; -8; 7; -6; 5},[[2;11;3;12];[4;9;5;10];[6;16;7;15];[8;14;9;13];[10;1;11;2];[12;3;13;4];[14;8;15;7];[16;6;1;5]],8,2,2,4,9,{-1;-1;-1;2;-1;2;3;-2;3},reversible,D2,K(5/19)
8_5,Y,8a_13,28,[6; 8; 12; 2; 14; 16; 4; 10],[3;3;2],{1; -2; 3; -4; 5; -1; 2; -3; 6; -7; 8; -5; 4; -6; 7; -8},[[1;7;2;6];[3;9;4;8];[5;12;6;13];[7;3;8;2];[9;15;10;14];[11;1;12;16];[13;4;14;5];[15;11;16;10]],8,2,3,3,8,{1;1;1;-2;1;1;1;-2},reversible,D2,K(1/3;1/3;1/2)
8_6,Y,8a_10,25,[4; 10; 14; 16; 12; 2; 8; 6],[332],{-1; 2; -3; 4; -5; 6; -7; 8; -2; 1; -8; 7; -4; 5; -6; 3},[[2;9;3;10];[4;14;5;13];[6;16;7;15];[8;12;9;11];[10;1;11;2];[12;8;13;7];[14;6;15;5];[16;4;1;3]],8,2,2,4,9,{1;1;1;1;2;-1;-3;2;-3},reversible,D2,K(10/23)
8_7,Y,8a_6,21,[4; 10; 12; 14; 2; 16; 6; 8],[4112],{-1; 2; -3; 4; -5; 6; -7; 1; -2; 5; -8; 3; -4; 8; -6; 7},[[2;9;3;10];[4;14;5;13];[6;15;7;16];[8;1;9;2];[10;5;11;6];[12;4;13;3];[14;12;15;11];[16;7;1;8]],8,1,2,3,8,{-1;-1;-1;-1;2;-1;2;2},reversible,D2,K(9/23)
8_8,Y,8a_4,19,[4; 8; 12; 2; 16; 14; 6; 10],[2312],{1; -2; 3; -4; 5; -1; 2; -5; 6; -7; 8; -3; 4; -8; 7; -6},[[1;7;2;6];[3;12;4;13];[5;9;6;8];[7;3;8;2];[9;16;10;1];[11;14;12;15];[13;4;14;5];[15;10;16;11]],8,2,2,4,9,{-1;-1;-1;-2;1;3;-2;3;3},reversible,D2,K(9/25)
8_9,Y,8a_16,31,[6; 10; 12; 14; 16; 4; 2; 8],[3113],{-1; 2; -3; 4; -5; 1; -6; 7; -8; 3; -4; 5; -2; 6; -7; 8},[[6;2;7;1];[14;8;15;7];[10;3;11;4];[2;13;3;14];[12;5;13;6];[4;11;5;12];[16;10;1;9];[8;16;9;15]],8,1,2,3,8,{1;1;1;-2;1;-2;-2;-2},fully amphicheiral,D4,K(7/25)
8_10,Y,8a_3,18,[4; 8; 12; 2; 14; 16; 6; 10],[3;21;2],{-1; 2; -3; 4; -5; 6; -7; 8; -4; 5; -6; 1; -2; 7; -8; 3},[[2;14;3;13];[4;9;5;10];[6;11;7;12];[8;15;9;16];[10;5;11;6];[12;2;13;1];[14;7;15;8];[16;4;1;3]],8,2,3,3,8,{-1;-1;-1;2;-1;-1;2;2},reversible,D1,K(1/3;2/3;1/2)
8_11,Y,8a_9,24,[4; 10; 12; 14; 16; 2; 8; 6],[3212],{1; -2; 3; -4; 5; -6; 7; -8; 2; -1; 8; -3; 6; -5; 4; -7},[[1;10;2;11];[3;13;4;12];[5;15;6;14];[7;1;8;16];[9;2;10;3];[11;9;12;8];[13;7;14;6];[15;5;16;4]],8,1,2,4,9,{1;1;2;-1;2;2;-3;2;-3},reversible,D2,K(10/27)
8_12,Y,8a_5,20,[4; 8; 14; 10; 2; 16; 6; 12],[2222],{-1; 2; -3; 1; -4; 5; -6; 3; -2; 6; -7; 8; -5; 4; -8; 7},[[4;2;5;1];[10;8;11;7];[8;3;9;4];[2;9;3;10];[14;6;15;5];[16;11;1;12];[12;15;13;16];[6;14;7;13]],8,2,2,5,8,{1;-2;1;3;-2;-4;3;-4},fully amphicheiral,D4,K(12/29)
8_13,Y,8a_7,22,[4; 10; 12; 14; 2; 16; 8; 6],[31112],{1; -2; 3; -4; 5; -6; 7; -1; 2; -7; 8; -5; 4; -3; 6; -8},[[1;9;2;8];[3;14;4;15];[5;12;6;13];[7;11;8;10];[9;3;10;2];[11;16;12;1];[13;4;14;5];[15;6;16;7]],8,1,2,4,9,{1;1;-2;1;-2;-2;-3;2;-3},reversible,D2,K(11/29)
